Cost,Avg Temp,Switch Rate,,,,,nov,dec,jan,feb,mar
76.02590675,1.043333333,0.094444444,All DONE!: novGS,,,Switching,76.02590675,87.80773864,120.0235249,33.86844262,62.15190191
88.00151039,1.043333333,0,All DONE!: novGE,,,Electric Only,88.00151039,100.4835084,177.0866178,42.22961762,76.88583507
84.68220823,1.043333333,0,All DONE!: novGNG,,,Natural Gas Only,84.68220823,95.54431621,123.4016249,36.18043699,65.40504523
77.30173899,1.043333333,0.097222222,All DONE!: novBS,,,Switching,77.30173899,89.00445763,120.6004633,34.18658453,62.69809555
89.65057491,1.043333333,0,All DONE!: novBE,,,Electric Only,89.65057491,102.7833391,153.5082344,41.49514196,75.82968369
84.68220823,1.043333333,0,All DONE!: novBNG,,,Natural Gas Only,84.68220823,95.54431621,123.4016249,36.18043699,65.40504523
87.80773864,-0.811290323,0.080645161,All DONE!: decGS,,,,,,,,
100.4835084,-0.811290323,0,All DONE!: decGE,,,,Cost Savings,,,,
95.54431621,-0.811290323,0,All DONE!: decGNG,,,,nov,dec,jan,feb,mar
89.00445763,-0.811290323,0.069892473,All DONE!: decBS,,,Goodman,10.22%,8.10%,2.74%,6.39%,4.97%
102.7833391,-0.811290323,0,All DONE!: decBE,,,Bosch,8.72%,6.84%,2.27%,5.51%,4.14%
95.54431621,-0.811290323,0,All DONE!: decBNG,,,,Switch Rate,,,,
120.0235249,-7.237768817,0.063172043,All DONE!: janGS,,,Goodman Switch,9.44%,8.06%,6.32%,7.95%,6.36%
177.0866178,-7.237768817,0,All DONE!: janGE,,,Bosch Switch,9.72%,6.99%,6.05%,7.95%,6.36%
123.4016249,-7.237768817,0,All DONE!: janGNG,,,,,,,,
120.6004633,-7.237768817,0.060483871,All DONE!: janBS,,,Avg Temp,1.043333333,-0.811290323,-7.237768817,-2.292045455,-3.387938596
153.5082344,-7.237768817,0,All DONE!: janBE,,,,,,,,
123.4016249,-7.237768817,0,All DONE!: janBNG,,,,,,,,
33.86844262,-2.292045455,0.079545455,All DONE!: febGS,,,Goodman,10.22%,8.10%,6.39%,4.97%,2.74%
42.22961762,-2.292045455,0,All DONE!: febGE,,,Bosch,8.72%,6.84%,5.51%,4.14%,2.27%
36.18043699,-2.292045455,0,All DONE!: febGNG,,,Avg Temp,1.043333333,-0.811290323,-2.292045455,-3.387938596,-7.237768817
34.18658453,-2.292045455,0.079545455,All DONE!: febBS,,,,,,,,
41.49514196,-2.292045455,0,All DONE!: febBE,,,AvgTemp,Goodman,Bosch,,,
36.18043699,-2.292045455,0,All DONE!: febBNG,,,-7.237768817,2.74%,2.27%,,,
62.15190191,-3.387938596,0.063596491,All DONE!: marGS,,,-3.387938596,4.97%,4.14%,,,
76.88583507,-3.387938596,0,All DONE!: marGE,,,-2.292045455,6.39%,5.51%,,,
65.40504523,-3.387938596,0,All DONE!: marGNG,,,-0.811290323,8.10%,6.84%,,,
62.69809555,-3.387938596,0.063596491,All DONE!: marBS,,,1.043333333,10.22%,8.72%,,,
75.82968369,-3.387938596,0,All DONE!: marBE,,,,,,,,
65.40504523,-3.387938596,0,All DONE!: marBNG,,,,,,,,
