Date,Elec_off_peak,Elec_mid_peak,Elec_peak,NG,Units,Units
01/01/2019,0.0881055,0.1185555,0.1584555,0.35267187,$/kWh,$/m^3
01/02/2019,0.0881055,0.1185555,0.1584555,0.35267187,,
01/03/2019,0.0881055,0.1185555,0.1584555,0.35267187,,
01/04/2019,0.0881055,0.1185555,0.1584555,0.35267187,,
01/05/2019,0.0881055,0.1185555,0.1584555,0.35267187,,
01/06/2019,0.0881055,0.1185555,0.1584555,0.35267187,,
01/07/2019,0.0881055,0.1185555,0.1584555,0.35267187,,
01/08/2019,0.0881055,0.1185555,0.1584555,0.35267187,,
01/09/2019,0.0881055,0.1185555,0.1584555,0.35267187,,
01/10/2019,0.0881055,0.1185555,0.1584555,0.35267187,,
01/11/2019,0.0881055,0.1185555,0.1584555,0.35267187,,
01/12/2019,0.0881055,0.1185555,0.1584555,0.35267187,,
